# Pb isotope ratio data to investigate potential source areas
# of antropogenic Pb reaching the Arctic in association with PM10.
# This dataset is used by the function isoplot.pm10 to generate
# three-isotope plots.
# Data sources are indicated in the Ref column:
#
# 1 Bollhofer and Rosman, Isotopic source signatures for atmospheric
#   lead: The Northern Hemisphere. Geochimica et Cosmochimica Acta,
#   2001, 65, 1727-1740.
#
# 2 Carignan, Simonetti and Gariepy, Dispersal of atmospheric lead in
#   northeastern North America as recorded by epiphytic lichens.
#   Atmospheric Environment, 2002, 36, 3759-3766.
#
# 3 Mukai, Machida, Tanaka, Vera and Uematsu, Lead isotope ratios in
#   the urban air of eastern and central Russia. Atmospheric Environment,
#   2001, 35, 2783-2793.
#
# 4 Mukai, Tanaka and Fujii, Regional Characteristics of Sulfur and lead
#   isotope ratios in the atmosphere at several chinese urban sites.
#   Environmental Science and Technology, 2001, 35, 1064-1071.
#
# 5 Zhu, Tang, Lee, Zhang and Zhang, Lead concentrations and isotopes 
#   in aerosols from Xiamen, China. Marine Pollution Bulletin, 2010,
#   60, 1946-1955.
#
sample	Pb206204	Pb207204	Pb208204	Pb206207	Pb207206	Pb208206	ref	area
Maine	18.5410	15.6490	38.2730	1.1850	0.8439	2.0640	2	usa
NewYork1	18.8050	15.6490	38.3480	1.2020	0.8319	2.0390	2	usa
Vermont	18.9040	15.6790	38.6160	1.2060	0.8292	2.0430	2	usa
NewJersey	18.8380	15.6510	38.4390	1.2040	0.8306	2.0410	2	usa
Maryland	18.8250	15.6540	38.4400	1.2030	0.8313	2.0420	2	usa
Tampa1	NA	NA	NA	1.2140	0.8237	2.0200	1	usa
Pasadena	NA	NA	NA	1.1879	0.8418	2.0590	1	usa
PuertoRico	NA	NA	NA	1.1761	0.8503	2.0650	1	usa
Argonne	NA	NA	NA	1.2109	0.8258	2.0290	1	usa
Wilmington	NA	NA	NA	1.2229	0.8177	2.0120	1	usa
SouthHolland	NA	NA	NA	1.2200	0.8197	2.0160	1	usa
Sioux	NA	NA	NA	1.1950	0.8368	2.0500	1	usa
Dallas	NA	NA	NA	1.2021	0.8319	2.0340	1	usa
NewYork2	NA	NA	NA	1.2101	0.8264	2.0340	1	usa
Tampa2	NA	NA	NA	1.2195	0.8200	2.0210	1	usa
WoodsHole	NA	NA	NA	1.1840	0.8446	2.0650	1	usa
#Davis	NA	NA	NA	1.1730	0.8525	2.0830	1	usa
#Berkeley	NA	NA	NA	1.1665	0.8573	2.0850	1	usa
#Pasadena	NA	NA	NA	1.1774	0.8493	2.0700	1	usa
Mauricie	NA	NA	NA	1.1760	0.8503	2.0760	2	canada
LacCroix	NA	NA	NA	1.1810	0.8467	2.0670	2	canada
LacDecoigne	NA	NA	NA	1.1800	0.8475	2.0670	2	canada
LacBrome	NA	NA	NA	1.1850	0.8439	2.0600	2	canada
Lusignan	NA	NA	NA	1.1880	0.8418	2.0600	2	canada
Rougemont	NA	NA	NA	1.1820	0.8460	2.0620	2	canada
LacStJean	NA	NA	NA	1.1730	0.8525	2.0790	2	canada
Arboretum	NA	NA	NA	1.1800	0.8475	2.0730	2	canada
LacDoreen	NA	NA	NA	1.1670	0.8569	2.0850	2	canada
KM	NA	NA	NA	1.1710	0.8540	2.0840	2	canada
ChutesMcDonald	NA	NA	NA	1.1800	0.8475	2.0720	2	canada
PointeauxOutardes	NA	NA	NA	1.1700	0.8547	2.0810	2	canada
Escoumins	NA	NA	NA	1.1780	0.8489	2.0730	2	canada
HavreStPierre	NA	NA	NA	1.1790	0.8482	2.0720	2	canada
ParcBic	NA	NA	NA	1.1680	0.8562	2.0840	2	canada
Laporte	NA	NA	NA	1.1730	0.8525	2.0830	2	canada
#Chibougamau	NA	NA	NA	1.1540	0.8666	2.1040	2	canada
KM1	NA	NA	NA	1.1750	0.8511	2.0800	2	canada
KM2	NA	NA	NA	1.1950	0.8368	2.0770	2	canada
LA1	NA	NA	NA	1.1610	0.8613	2.0950	2	canada
CLaforge2	NA	NA	NA	1.1610	0.8613	2.0940	2	canada
#Chisasibi	NA	NA	NA	1.1460	0.8726	2.1230	2	canada
#Kouri	NA	NA	NA	1.1460	0.8726	2.1130	2	canada
MtCarletonPark	NA	NA	NA	1.1890	0.8410	2.0580	2	canada
LiscombSanctuary	NA	NA	NA	1.1770	0.8496	2.0790	2	canada
KingCross	NA	NA	NA	1.1730	0.8525	2.0810	2	canada
LacBrasD	NA	NA	NA	1.1760	0.8503	2.0740	2	canada
Debert	NA	NA	NA	1.1750	0.8511	2.0800	2	canada
ParcKemjikujik	NA	NA	NA	1.1900	0.8403	2.0520	2	canada
