"Isotope Ratio Report",,,,,,
"Sample ID:","1% HNO3",,,,,
"Sample Date/Time:","Thursday, April 23, 2015 11:29:40",,,,,
"Sample Type:","Sample",,,,,
"Sample Description:",,,,,,
"Method File:","C:\Elandata_Analitica\Method\pb_isotopi.mth",,,,,
"Dataset File:","C:\Elandata_Analitica\Dataset\PM10_NyAlesund_2010-2014_isotopi\1% HNO3.001",,,,,
"Tuning File:","C:\Elandata_Analitica\Tuning\default.tun",,,,,
"Optimization File:","C:\Elandata_Analitica\Optimize\default_Pbratios.dac",,,,,
"Blank File:",,,,,,
"Dead Time (ns):",40,,,,,
"Read Delay(sec):",40,,,,,
"Number of Sweeps:",1000,,,,,
"Number of Readings:",10,,,,,
"Number of Replicates:",10,,,,,
"Dual Detector Mode:","Pulse",,,,,
"Measurement Unit:","counts",,,,,
"Replicates",,,,,,
"Replicate",1,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,508.001,2.13446,0.51004,1
"| ","Pb",206,250,1.05042,0.251,1
"|>","Pb",207,238,1,0.23896,1
"Replicate",2,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,497.001,2.02033,0.50355,1
"| ","Pb",206,244,0.99187,0.24721,1
"|>","Pb",207,246,1,0.24924,1
"Replicate",3,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,515.001,2.26873,0.52605,1
"| ","Pb",206,237,1.04405,0.24208,1
"|>","Pb",207,227,1,0.23187,1
"Replicate",4,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,486.001,2.43,0.54362,1
"| ","Pb",206,208,1.04,0.23266,1
"|>","Pb",207,200,1,0.22371,1
"Replicate",5,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,461.001,2.10502,0.52566,1
"| ","Pb",206,197,0.89954,0.22463,1
"|>","Pb",207,219,1,0.24971,1
"Replicate",6,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,425.001,2.30978,0.51893,1
"| ","Pb",206,210,1.1413,0.25641,1
"|>","Pb",207,184,1,0.22466,1
"Replicate",7,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,404.001,1.87037,0.49148,1
"| ","Pb",206,202,0.93519,0.24574,1
"|>","Pb",207,216,1,0.26277,1
"Replicate",8,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,406.001,2.15958,0.51918,1
"| ","Pb",206,188,1,0.24041,1
"|>","Pb",207,188,1,0.24041,1
"Replicate",9,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,357.001,1.6009,0.46912,1
"| ","Pb",206,181,0.81166,0.23784,1
"|>","Pb",207,223,1,0.29304,1
"Replicate",10,,,,,
