Sample ID:,1% HNO3,,,
Sample Date/Time:,"Monday, November 30, 2015 11:16:52",,,
Intensities,,,,
   ,Analyte,Mass,Meas. Intens. Mean,Meas. Intens. RSD
  ,Pb,206,7,103.411
  ,Pb,207,8,78.057
  ,Pb,208,8,66.052
Replicates,,,,
Analyte,Mass,Meas. Intensity,,
Pb,206,7,,
Pb,207,8,,
Pb,208,5,,
Analyte,Mass,Meas. Intensity,,
Pb,206,2,,
Pb,207,3,,
Pb,208,5,,
Analyte,Mass,Meas. Intensity,,
Pb,206,11,,
Pb,207,5,,
Pb,208,4,,
Analyte,Mass,Meas. Intensity,,
Pb,206,5,,
Pb,207,6,,
Pb,208,4,,
Analyte,Mass,Meas. Intensity,,
Pb,206,26,,
Pb,207,25,,
Pb,208,22,,
Analyte,Mass,Meas. Intensity,,
Pb,206,3,,
Pb,207,5,,
Pb,208,3,,
Analyte,Mass,Meas. Intensity,,
Pb,206,6,,
Pb,207,10,,
Pb,208,10,,
Analyte,Mass,Meas. Intensity,,
Pb,206,4,,
Pb,207,8,,
Pb,208,8,,
Analyte,Mass,Meas. Intensity,,
Pb,206,1,,
Pb,207,6,,
Pb,208,8,,
Analyte,Mass,Meas. Intensity,,
Pb,206,3,,
Pb,207,4,,
Pb,208,10,,
Analyte,Mass,Meas. Intensity,,
Pb,206,7,,
Pb,207,4,,
Pb,208,5,,
Analyte,Mass,Meas. Intensity,,
Pb,206,3,,
Pb,207,6,,
Pb,208,9,,
Sample ID:,SRM981_QC,,,
Sample Date/Time:,"Monday, November 30, 2015 11:30:40",,,
Intensities,,,,
   ,Analyte,Mass,Meas. Intens. Mean,Meas. Intens. RSD
  ,Pb,206,125196,63.055
  ,Pb,207,117321,63.044
  ,Pb,208,286824,63.036
Replicates,,,,
Analyte,Mass,Meas. Intensity,,
Pb,206,8,,
Pb,207,6,,
Pb,208,8,,
Analyte,Mass,Meas. Intensity,,
Pb,206,7,,
Pb,207,5,,
Pb,208,5,,
Analyte,Mass,Meas. Intensity,,
Pb,206,5,,
Pb,207,4,,
Pb,208,10,,
Analyte,Mass,Meas. Intensity,,
Pb,206,94903.125,,
Pb,207,89068.794,,
Pb,208,218116.724,,
Analyte,Mass,Meas. Intensity,,
Pb,206,174208.243,,
Pb,207,162948.586,,
Pb,208,398459.116,,
Analyte,Mass,Meas. Intensity,,
Pb,206,175134.472,,
Pb,207,163620.743,,
Pb,208,398876.358,,
Analyte,Mass,Meas. Intensity,,
Pb,206,174065.209,,
Pb,207,164458.934,,
Pb,208,401454.8,,
Analyte,Mass,Meas. Intensity,,
Pb,206,173884.164,,
Pb,207,163781.776,,
Pb,208,401550.856,,
Analyte,Mass,Meas. Intensity,,
Pb,206,176552.823,,
Pb,207,163497.713,,
Pb,208,400397.203,,
Analyte,Mass,Meas. Intensity,,
Pb,206,177168.974,,
Pb,207,166387.38,,
Pb,208,405733.222,,
Analyte,Mass,Meas. Intensity,,
Pb,206,177371.032,,
Pb,207,167244.587,,
Pb,208,404113.322,,
Analyte,Mass,Meas. Intensity,,
Pb,206,179046.439,,
Pb,207,166832.485,,
Pb,208,413164.473,,
Sample ID:,CRM482_1a40,,,
Sample Date/Time:,"Monday, November 30, 2015 11:44:28",,,
Intensities,,,,
   ,Analyte,Mass,Meas. Intens. Mean,Meas. Intens. RSD
  ,Pb,206,204317,0.855
  ,Pb,207,184167,1.038
  ,Pb,208,458473,0.733
Replicates,,,,
Analyte,Mass,Meas. Intensity,,
Pb,206,206677.904,,
Pb,207,187118.511,,
Pb,208,461851.282,,
Analyte,Mass,Meas. Intensity,,
Pb,206,200341.095,,
Pb,207,179908.658,,
Pb,208,452264.153,,
Analyte,Mass,Meas. Intensity,,
Pb,206,204110.16,,
Pb,207,184251.765,,
Pb,208,458313.018,,
Analyte,Mass,Meas. Intensity,,
Pb,206,206951.98,,
Pb,207,187431.59,,
Pb,208,463965.65,,
Analyte,Mass,Meas. Intensity,,
Pb,206,205262.497,,
Pb,207,184375.801,,
Pb,208,459757.958,,
Analyte,Mass,Meas. Intensity,,
Pb,206,204203.187,,
Pb,207,183815.652,,
Pb,208,457849.703,,
Analyte,Mass,Meas. Intensity,,
Pb,206,203017.854,,
Pb,207,182951.432,,
Pb,208,453446.905,,
Analyte,Mass,Meas. Intensity,,
Pb,206,205128.453,,
Pb,207,184070.718,,
Pb,208,461748.214,,
Analyte,Mass,Meas. Intensity,,
Pb,206,203957.117,,
Pb,207,184419.808,,
Pb,208,457243.318,,
Analyte,Mass,Meas. Intensity,,
Pb,206,203629.025,,
Pb,207,184148.737,,
Pb,208,458432.09,,
Analyte,Mass,Meas. Intensity,,
Pb,206,203439.971,,
Pb,207,183200.494,,
Pb,208,456896.087,,
Analyte,Mass,Meas. Intensity,,
Pb,206,205085.439,,
Pb,207,184308.778,,
Pb,208,459903.025,,
Sample ID:,SRM981_QC,,,
Sample Date/Time:,"Monday, November 30, 2015 11:58:16",,,
Intensities,,,,
   ,Analyte,Mass,Meas. Intens. Mean,Meas. Intens. RSD
  ,Pb,206,191579,1.727
  ,Pb,207,178877,1.53
  ,Pb,208,437674,1.646
Replicates,,,,
Analyte,Mass,Meas. Intensity,,
Pb,206,198845.677,,
Pb,207,184587.85,,
Pb,208,454692.68,,
Analyte,Mass,Meas. Intensity,,
Pb,206,196269.965,,
Pb,207,183227.5,,
Pb,208,447468.132,,
Analyte,Mass,Meas. Intensity,,
Pb,206,193467.201,,
Pb,207,180838.891,,
Pb,208,440988.108,,
Analyte,Mass,Meas. Intensity,,
Pb,206,192534.947,,
Pb,207,179338.514,,
Pb,208,439698.304,,
Analyte,Mass,Meas. Intensity,,
Pb,206,189958.264,,
Pb,207,177177.986,,
Pb,208,435120.55,,
Analyte,Mass,Meas. Intensity,,
Pb,206,191172.584,,
Pb,207,178190.226,,
Pb,208,435371.656,,
Analyte,Mass,Meas. Intensity,,
Pb,206,187881.712,,
Pb,207,176103.711,,
Pb,208,429616.198,,
Analyte,Mass,Meas. Intensity,,
Pb,206,190088.292,,
Pb,207,177259.996,,
Pb,208,431261.172,,
Analyte,Mass,Meas. Intensity,,
Pb,206,187484.606,,
Pb,207,176027.691,,
Pb,208,432215.737,,
Analyte,Mass,Meas. Intensity,,
Pb,206,190682.451,,
Pb,207,176730.863,,
Pb,208,434569.16,,
Analyte,Mass,Meas. Intensity,,
Pb,206,189420.119,,
Pb,207,178290.251,,
Pb,208,434156.927,,
Analyte,Mass,Meas. Intensity,,
Pb,206,191145.575,,
Pb,207,178745.364,,
Pb,208,436932.618,,
Sample ID:,SRM981_QC,,,
Sample Date/Time:,"Monday, November 30, 2015 12:17:20",,,
Intensities,,,,
   ,Analyte,Mass,Meas. Intens. Mean,Meas. Intens. RSD
  ,Pb,206,205757,1.197
  ,Pb,207,192369,1.363
  ,Pb,208,470859,1.259
Replicates,,,,
Analyte,Mass,Meas. Intensity,,
Pb,206,209149.62,,
Pb,207,197143.205,,
Pb,208,479829.144,,
Analyte,Mass,Meas. Intensity,,
Pb,206,210312.962,,
Pb,207,196838.122,,
Pb,208,482616.015,,
Analyte,Mass,Meas. Intensity,,
Pb,206,207862.245,,
Pb,207,195211.675,,
Pb,208,475246.06,,
Analyte,Mass,Meas. Intensity,,
Pb,206,206529.857,,
Pb,207,193044.089,,
Pb,208,473067.621,,
Analyte,Mass,Meas. Intensity,,
Pb,206,203160.908,,
Pb,207,189766.221,,
Pb,208,468500.683,,
Analyte,Mass,Meas. Intensity,,
Pb,206,204094.156,,
Pb,207,190934.519,,
Pb,208,469557.312,,
Analyte,Mass,Meas. Intensity,,
Pb,206,203645.033,,
Pb,207,190034.28,,
Pb,208,464262.845,,
Analyte,Mass,Meas. Intensity,,
Pb,206,202722.771,,
Pb,207,190211.326,,
Pb,208,464568.044,,
Analyte,Mass,Meas. Intensity,,
Pb,206,203744.06,,
Pb,207,190531.411,,
Pb,208,464289.86,,
Analyte,Mass,Meas. Intensity,,
Pb,206,204820.363,,
Pb,207,191811.752,,
Pb,208,467930.234,,
Analyte,Mass,Meas. Intensity,,
Pb,206,206810.941,,
Pb,207,191552.686,,
Pb,208,470821.142,,
