"Isotope Ratio Report",,,,,,
"Sample ID:","SRM",,,,,
"Sample Date/Time:","Tuesday, June 25, 2013 10:57:23",,,,,
"Sample Type:","Sample",,,,,
"Sample Description:",,,,,,
"Method File:","C:\Elandata_Analitica\Method\pb_isotopi.mth",,,,,
"Dataset File:","C:\Elandata_Analitica\Dataset\PM Antartide\CRM1.1479",,,,,
"Tuning File:","C:\Elandata_Analitica\Tuning\default.tun",,,,,
"Optimization File:","C:\Elandata_Analitica\Optimize\default_Pbratios.dac",,,,,
"Blank File:",,,,,,
"Dead Time (ns):",52,,,,,
"Read Delay(sec):",40,,,,,
"Number of Sweeps:",1000,,,,,
"Number of Readings:",10,,,,,
"Number of Replicates:",10,,,,,
"Dual Detector Mode:","Pulse",,,,,
"Measurement Unit:","counts",,,,,
"Replicates",,,,,,
"Replicate",1,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,3571384.782,2.387,0.534,1
"| ","Pb",206,1624077.933,1.085,0.243,1
"|>","Pb",207,1496348.153,1,0.224,1
"Replicate",2,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,3493059.807,2.39,0.534,1
"| ","Pb",206,1583811.499,1.084,0.242,1
"|>","Pb",207,1461638.609,1,0.224,1
"Replicate",3,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,3473160.383,2.382,0.533,1
"| ","Pb",206,1583666.07,1.086,0.243,1
"|>","Pb",207,1458369.518,1,0.224,1
"Replicate",4,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,3447488.027,2.385,0.533,1
"| ","Pb",206,1569359.22,1.086,0.243,1
"|>","Pb",207,1445388.273,1,0.224,1
"Replicate",5,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,3464122.927,2.388,0.534,1
"| ","Pb",206,1572977.051,1.084,0.242,1
"|>","Pb",207,1450444.319,1,0.224,1
"Replicate",6,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,3368302.511,2.387,0.533,1
"| ","Pb",206,1537003.025,1.089,0.243,1
"|>","Pb",207,1411262.953,1,0.223,1
"Replicate",7,,,,,
